__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
22;NFSe/infNFSe/emit/;CPF;CE;N;1-1;11;Número da inscrição federal (CPF) do emitente da NFS-e.;-;;;;;;
23;NFSe/infNFSe/emit/;IM;E;C;0-1;15;Número do indicador municipal do emitente da NFS-e.;-;;;;;;
24;NFSe/infNFSe/emit/;xNome;E;C;1-1;150;Nome / Razão Social do emitente.;-;;;;;;
25;NFSe/infNFSe/emit/;xFant;E;C;0-1;150;Nome / Fantasia do emitente.;-;;;;;;
26;NFSe/infNFSe/emit/;enderNac;G;-;1-1;-;Grupo de informações do endereço nacional do Emitente da NFS-e;-;;;;;;
27;NFSe/infNFSe/emit/enderNac/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro da localização do endereço do emitente.;-;;;;;;
28;NFSe/infNFSe/emit/enderNac/;nro;E;C;1-1;1-60;Número do imóvel do endereço do emitente.;-;;;;;;
29;NFSe/infNFSe/emit/enderNac/;xCpl;E;C;0-1;1-156;Complemento do endereço do emitente.;-;;;;;;
30;NFSe/infNFSe/emit/enderNac/;xBairro;E;C;1-1;1-60;Bairro do endereço do emitente.;-;;;;;;
31;NFSe/infNFSe/emit/enderNac/;cMun;E;N;1-1;7;"Código do município do endereço do emitente.
(Tabela do IBGE)";-;;;;;;
32;NFSe/infNFSe/emit/enderNac/;UF;E;C;1-1;2;Sigla da unidade da federação do município do endereço do emitente.;-;;;;;;
33;NFSe/infNFSe/emit/enderNac/;CEP;E;N;1-1;8;"Número do CEP do endereço do emitente.
(Informar os zeros não significativos)";-;;;;;;
34;NFSe/infNFSe/emit/;fone;E;N;0-1;9-20;"Número do telefone do emitente.
(Preencher com o Código DDD + número do telefone. 
Nas operações com exterior é permitido informar o código do país + código da localidade + número do telefone)";-;;;;;;
35;NFSe/infNFSe/emit/;email;E;C;0-1;80;E-mail do emitente.;-;;;;;;
36;NFSe/infNFSe/;valores;G;-;1-1;-;Grupo de valores referentes ao serviço prestado;-;;;;;;
37;NFSe/infNFSe/valores/;vCalcDR;E;N;0-1;1-15V2;Valor monetário (R$) de dedução/redução da base de cálculo (BC) do ISSQN.;"vCalcDR é:

o valor monetário calculado a partir do percentual de dedução/redução da BC do ISSQN, informado pelo emitente no campo pDR da DPS. Este percentual é calculado sobre valor do serviço informado na DPS e o resultado calculado é o valor deste campo do leiaute NFS-e;
ou
a soma dos valores de dedução/redução da BC do ISSQN, quando um ou mais documentos são informados nos campos vDeducaoReducao pelo emitente na DPS. Neste caso, o resultado do somatório é o valor deste campo do leiaute NFS-e;";;;;;;
38;NFSe/infNFSe/valores/;tpBM;E;C;0-1;40;"Tipo Benefício Municipal (BM):

1 ) ""Isenção"";
2) ""Redução da BC em 'ppBM' %"";
3) ""Redução da BC em R$ 'vInfoBM' "";
4) ""Alíquota Diferenciada de 'aliqDifBM' %"";";"Onde, nos itens abaixo:

 3) ppBM é o percentual parametrizado pelo município de incidência para redução da base de cálculo do benefício municipal concedido;

4) vInfoBM é o valor informado na DPS da redução da base de cálculo do benefício municipal concedido;

5) aliqDifBM é o percentual parametrizado pelo município de incidência para alíquota diferenciada do benefício municipal concedido;";;;;;;
39;NFSe/infNFSe/valores/;vCalcBM;E;N;0-1;1-15V2;Valor monetário (R$) do percentual de redução da base de cálculo (BC) do ISSQN devido a um benefício municipal (BM).;"Este valor é:

o cálculo do valor de redução da BC do ISSQN, quando um percentual é parametrizado pelo município de incidência na lei de BM, que foi informada pelo emitente na DPS. Neste caso o percentual parametrizado é aplicado sobre o valor do serviço informado na DPS e o resultado calculado é o valor deste campo do leiaute NFS-e;";;;;;;
40;NFSe/infNFSe/valores/;vBC;E;N;0-1;1-15V2;"Valor da Base de Cálculo do ISSQN (R$) = Valor do Serviço - Desconto Incondicionado - Deduções/Reduções - Benefício Municipal

vBC = vServ - descIncond - (vDR ou vCalcDR) - (vRedBCBM ou VCalcBM)";"A - A Base de Cálculo do ISSQN é igual a valor do serviço menos a soma dos seguintes valores: desconto incondicionado, total de deduções/reduções e benefício municipal.

Sendo que:
1 - Quando o valor de dedução/redução for apurado a partir de um percentual informado na DPS, calcular este percentual sobre o valor do serviço já abatido o valor do desconto incondicionado.

2 - Quando o valor do benefício municipal for apurado a partir de um percentual parametrizado para redução da base de cálculo, aplicar o percentual parametrizado sobre o valor do serviço já abatidos os valores do desconto incondicionado e dedução/redução.

B - O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens 7.02, 7.05 e 16.01 da lista anexa a LC 116/03.";;;;;;
