__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
99;NFSe/infNFSe/DPS/infDPS/toma/;end;G;-;0-1;-;Grupo de informações do endereço do tomador do serviço.;-;;;;;;
100;NFSe/infNFSe/DPS/infDPS/toma/end/;endNac;CG;-;1-1;-;Grupo de informações do endereço nacional.;-;;;;;;
101;NFSe/infNFSe/DPS/infDPS/toma/end/endNac/;cMun;E;N;1-1;7;"Código do município do endereço do tomador do serviço.
 (Tabela do IBGE)";-;;;;;;
102;NFSe/infNFSe/DPS/infDPS/toma/end/endNac/;CEP;E;C;1-1;8;"Código numérico do Endereçamento Postal nacional (CEP) 
 do endereço do tomador do serviço.";-;;;;;;
103;NFSe/infNFSe/DPS/infDPS/toma/end/;endExt;CG;-;1-1;-;Grupo de informações do endereço no exterior.;-;;;;;;
104;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;cPais;E;C;1-1;2;"Código do país do endereço do prestador do tomador do serviço.
 (Tabela de Países ISO)";-;;;;;;
105;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;cEndPost;E;C;1-1;1-11;Código alfanumérico do Endereçamento Postal no exterior do tomador do serviço.;-;;;;;;
106;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do tomador do serviço.;-;;;;;;
107;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior do tomador do serviço.;-;;;;;;
108;NFSe/infNFSe/DPS/infDPS/toma/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço do tomador do serviço.;-;;;;;;
109;NFSe/infNFSe/DPS/infDPS/toma/end/;nro;E;C;1-1;1-60;Número no logradouro do endereço do tomador do serviço.;-;;;;;;
110;NFSe/infNFSe/DPS/infDPS/toma/end/;xCpl;E;C;0-1;1-156;Complemento do endereço do tomador do serviço.;-;;;;;;
111;NFSe/infNFSe/DPS/infDPS/toma/end/;xBairro;E;C;1-1;1-60;Bairro do endereço do tomador do serviço.;-;;;;;;
112;NFSe/infNFSe/DPS/infDPS/toma/;fone;E;N;0-1;6-20;"Número do telefone do tomador.
(Preencher com o Código DDD + número do telefone. 
Nas operações com exterior é permitido informar o código do país + código da localidade + número do telefone)";-;;;;;;
113;NFSe/infNFSe/DPS/infDPS/toma/;email;E;C;0-1;1-80;E-mail do tomador.;;;;;;;
114;NFSe/infNFSe/DPS/infDPS/;interm;G;-;0-1;-;Grupo de informações relativas ao intermediário do serviço;-;;;;;;
115;NFSe/infNFSe/DPS/infDPS/interm/;CNPJ;CE;N;1-1;14;Número da inscrição federal (CNPJ) do intermediário de serviço;-;;;;;;
116;NFSe/infNFSe/DPS/infDPS/interm/;CPF;CE;N;1-1;11;Número da inscrição federal (CPF) do intermediário do serviço;-;;;;;;
117;NFSe/infNFSe/DPS/infDPS/interm/;NIF;CE;C;1-1;40;Número de identificação fiscal fornecido por órgão de administração tributária no exterior;-;;;;;;
118;NFSe/infNFSe/DPS/infDPS/interm/;cNaoNIF;CE;N;1-1;1;"Motivo para não informação do NIF:

0 - Não informado na nota de origem;
1 - Dispensado do NIF;
2 - Não exigência do NIF;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
119;NFSe/infNFSe/DPS/infDPS/interm/;CAEPF;E;N;0-1;14;Número do Cadastro de Atividade Econômica da Pessoa Física (CAEPF) do intermediário do serviço.;-;;;;;;
120;NFSe/infNFSe/DPS/infDPS/interm/;IM;E;C;0-1;15;Número do indicador municipal do intermediário do serviço;-;;;;;;
121;NFSe/infNFSe/DPS/infDPS/interm/;xNome;E;C;1-1;150;Nome / Nomer Empresarial do intermediário;-;;;;;;
122;NFSe/infNFSe/DPS/infDPS/interm/;end;G;-;0-1;-;Grupo de informações do endereço do intermediário do serviço.;-;;;;;;
123;NFSe/infNFSe/DPS/infDPS/interm/end/;endNac;CG;-;1-1;-;Grupo de informações do endereço nacional.;-;;;;;;
124;NFSe/infNFSe/DPS/infDPS/interm/end/endNac/;cMun;E;N;1-1;7;"Código do município do endereço do intermediário do serviço.
 (Tabela do IBGE)";-;;;;;;
125;NFSe/infNFSe/DPS/infDPS/interm/end/endNac/;CEP;E;C;1-1;8;"Código numérico do Endereçamento Postal nacional (CEP) 
 do endereço do intermediário do serviço.";-;;;;;;
126;NFSe/infNFSe/DPS/infDPS/interm/end/;endExt;CG;-;1-1;-;Grupo de informações do endereço no exterior.;-;;;;;;
127;NFSe/infNFSe/DPS/infDPS/interm/end/endExt/;cPais;E;C;1-1;2;"Código do país do endereço do prestador do intermediário do serviço.
 (Tabela de Países ISO)";-;;;;;;
128;NFSe/infNFSe/DPS/infDPS/interm/end/endExt/;cEndPost;E;C;1-1;1-11;Código alfanumérico do Endereçamento Postal no exterior do intermediário do serviço.;-;;;;;;
129;NFSe/infNFSe/DPS/infDPS/interm/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do intermediário do serviço.;-;;;;;;
130;NFSe/infNFSe/DPS/infDPS/interm/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior do intermediário do serviço.;-;;;;;;
131;NFSe/infNFSe/DPS/infDPS/interm/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço do intermediário do serviço.;-;;;;;;
132;NFSe/infNFSe/DPS/infDPS/interm/end/;nro;E;C;1-1;1-60;Número no logradouro do endereço do intermediário do serviço.;-;;;;;;
133;NFSe/infNFSe/DPS/infDPS/interm/end/;xCpl;E;C;0-1;1-156;Complemento do endereço do intermediário do serviço.;-;;;;;;
134;NFSe/infNFSe/DPS/infDPS/interm/end/;xBairro;E;C;1-1;1-60;Bairro do endereço do intermediário do serviço.;-;;;;;;
135;NFSe/infNFSe/DPS/infDPS/interm/;fone;E;N;0-1;6-20;"Número do telefone do intermediário.
(Preencher com o Código DDD + número do telefone. 
Nas operações com exterior é permitido informar o código do país + código da localidade + número do telefone)";-;;;;;;
136;NFSe/infNFSe/DPS/infDPS/interm/;email;E;C;0-1;1-80;E-mail do intermediário.;;;;;;;
137;NFSe/infNFSe/DPS/infDPS/;serv;G;-;1-1;-;Grupo de informações relativas ao serviço prestado;-;;;;;;
138;NFSe/infNFSe/DPS/infDPS/serv/;locPrest;G;-;1-1;-;Grupo de informações relativas ao local da prestação do serviço;"Para atender o dispositivo do Art 3º, § 2º,
(No caso dos serviços a que se refere o subitem 22.01 da lista anexa, considera-se ocorrido o fato gerador e devido o imposto em cada Município em cujo território haja extensão de rodovia explorada.)
o Sistema Nacional NFS-e considera o trecho de concessão de exploração de rodovia como uma localidade de prestação de serviço, assim como qualquer município brasileiro.

Para atender o dispositivo do Art 3º, § 3º,
(Considera-se ocorrido o fato gerador do imposto no local do estabelecimento prestador nos serviços executados em águas marítimas, excetuados os serviços descritos no subitem 20.01)
o Sistema Nacional NFS-e ""Águas Marítimas"" como uma localidade de prestação de serviço, assim como qualquer município brasileiro.

cLocPrestacao poderá assumir: qualquer código que represente um município da tabela de códigos de municípios do IBGE, qualquer código quer represente um trecho de concessão de exploração de rodovias do cadastro próprio do Sistema Nacional NFS-e ou 0000000, que representa ""Águas Marítimas"".";;;;;;
139;NFSe/infNFSe/DPS/infDPS/serv/locPrest/;cLocPrestacao;CE;N;1-1;7;Código da localidade da prestação do serviço.;;;;;;;
140;NFSe/infNFSe/DPS/infDPS/serv/locPrest/;cPaisPrestacao;CE;C;1-1;2;"Código do país onde ocorreu a prestação do serviço.
(Tabela de Países ISO)";;;;;;;
141;NFSe/infNFSe/DPS/infDPS/serv/;cServ;G;-;1-1;-;Grupo de informações relativas ao código do serviço prestado;-;;;;;;
142;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribNac;E;N;1-1;6;Código de tributação nacional do ISSQN.;"Para o caso de serviço prestado em ""Águas Marítimas"" o seviço informado nunca poderá ser 20.01";;;;;;
143;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cTribMun;E;N;0-1;3;Código de tributação municipal do ISSQN.;-;;;;;;
144;NFSe/infNFSe/DPS/infDPS/serv/cServ/;xDescServ;E;C;1-1;1000;Descrição completa do serviço prestado;-;;;;;;
145;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cNBS;E;N;0-1;9;Código NBS correspondente ao serviço prestado;NBS - Nomenclatura Brasileira de Serviços, Intangíveis e outras Operações que produzam Variações no Patrimônio;;;;;;
146;NFSe/infNFSe/DPS/infDPS/serv/cServ/;cIntContrib;E;C;0-1;20;Código interno do contribuinte;Utilizado para identificação da DPS no Sistema interno do Contribuinte;;;;;;
147;NFSe/infNFSe/DPS/infDPS/serv/;comExt;G;-;0-1;-;Grupo de informações sobre transações entre residentes ou domiciliados no Brasil com residentes ou domiciliados no exterior;-;;;;;;
148;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdPrestacao;E;N;1-1;1;"         Modo de Prestação:

0 - Desconhecido (tipo não informado na nota de origem);
1 - Transfronteiriço;
2 - Consumo no Brasil;
3 - Movimento Temporário de Pessoas Físicas;
4 - Consumo no Exterior;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
149;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vincPrest;E;N;1-1;1;"Vínculo entre as partes no negócio:

0 - Sem vínculo com o Tomador/Prestador
1 - Controlada;
2 - Controladora;
3 - Coligada;
4 - Matriz;
5 - Filial ou sucursal;
6 - Outro vínculo;";Adicionar ao Hint do campo: O adquirente/ Prestador do serviço é pessoa considerada vinculada ao prestador/ adquirente, nos termos do art. 23 da Lei nº 9.430, de 1996;;;;;;
150;NFSe/infNFSe/DPS/infDPS/serv/comExt/;tpMoeda;E;N;1-1;3;"Identifica a moeda da transação comercial. 
O usuário deve informar o código da moeda.";"inclusão, no Emissor Público, da tabela de moedas do Banco Central do Brasil para seleção pelo emitente da NFS-e. 
No Painel Nacional deverá haver função para atualização da tabela de Moedas.";;;;;;
151;NFSe/infNFSe/DPS/infDPS/serv/comExt/;vServMoeda;E;N;1-1;1-15V2;Valor do serviço prestado expresso em moeda estrangeira especificada em tpmoeda.;-;;;;;;
152;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexP;E;N;1-1;2;"Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo prestador do serviço:

00 - Desconhecido (tipo não informado na nota de origem);
01 - Nenhum;
02 - ACC - Adiantamento sobre Contrato de Câmbio – Redução a Zero do IR e do IOF;
  03 - ACE – Adiantamento sobre Cambiais Entregues - Redução a Zero do IR e do IOF;
04 - BNDES-Exim Pós-Embarque – Serviços;
 05 - BNDES-Exim Pré-Embarque - Serviços;
  06 - FGE - Fundo de Garantia à Exportação;
07 - PROEX - EQUALIZAÇÃO
 08 - PROEX - Financiamento;";"Campo disponível na nota do prestador.

O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.";;;;;;
153;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mecAFComexT;E;N;1-1;2;"Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo tomador do serviço:

00 - Desconhecido (tipo não informado na nota de origem);
01 - Nenhum;
02 - Adm. Pública e Repr. Internacional;
03 - Alugueis e Arrend. Mercantil de maquinas, equip., embarc. e aeronaves;
04 - Arrendamento Mercantil de aeronave para empresa de transporte aéreo público;
05 - Comissão a agentes externos na exportação;
06 - Despesas de armazenagem, mov. e transporte de carga no exterior;
07 - Eventos FIFA (subsidiária);
08 - Eventos FIFA;
09 - Fretes, arrendamentos de embarcações ou aeronaves e outros;
10 - Material Aeronáutico;
11 - Promoção de Bens no Exterior;
12 - Promoção de Dest. Turísticos Brasileiros;
13 - Promoção do Brasil no Exterior;
14 - Promoção Serviços no Exterior;
15 - RECINE;
16 - RECOPA;
17 - Registro e Manutenção de marcas, patentes e cultivares;
18 - REICOMP;
19 - REIDI;
20 - REPENEC;
21 - REPES;
22 - RETAERO; 
23 - RETID;
24 - Royalties, Assistência Técnica, Científica e Assemelhados;
25 - Serviços de avaliação da conformidade vinculados aos Acordos da OMC;
26 - ZPE;";"Campo disponível na nota do tomador.

O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.";;;;;;
154;NFSe/infNFSe/DPS/infDPS/serv/comExt/;movTempBens;E;N;1-1;1;"Vínculo da Operação à Movimentação Temporária de Bens:

0 - Desconhecido (tipo não informado na nota de origem);
1 - Não;
2 - Vinculada - Declaração de Importação;
3 - Vinculada - Declaração de Exportação;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
155;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nDI;E;C;0-1;1-12;Número da Declaração de Importação (DI/DSI/DA/DRI-E) averbado.;-;;;;;;
156;NFSe/infNFSe/DPS/infDPS/serv/comExt/;nRE;E;C;0-1;12;Número do Registro de Exportação (RE) averbado.;-;;;;;;
157;NFSe/infNFSe/DPS/infDPS/serv/comExt/;mdic;E;N;1-1;1;"Indicador se a NFS-e deverá ser disponibilizada ao MDIC.

0 - Não enviar para o MDIC;
1 - Enviar para o MDIC;";-;;;;;;
158;NFSe/infNFSe/DPS/infDPS/serv;obra;G;-;0-1;-;Grupo de informações relativas à obras de construção civil e congêneres;-;;;;;;
159;NFSe/infNFSe/DPS/infDPS/serv/obra/;inscImobFisc;E;C;0-1;1-30;"Inscrição imobiliária fiscal 
(código fornecido pela prefeitura para a identificação da obra ou para fins de recolhimento do IPTU)";-;;;;;;
160;NFSe/infNFSe/DPS/infDPS/serv/obra/;cObra;CE;C;1-1;1-30;"Número de identificação da obra.
Cadastro Nacional de Obras (CNO) ou Cadastro Específico do INSS (CEI).";-;;;;;;
161;NFSe/infNFSe/DPS/infDPS/serv/obra/;end;CG;-;1-1;-;Grupo de informações do endereço da obra.;-;;;;;;
162;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;CEP;CE;C;1-1;8;Código de Endereçamento Postal numérico do endereço nacional da obra.;-;;;;;;
163;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;endExt;CG;-;1-1;-;Grupo de informações descritivas do endereço no exterior da obra.;-;;;;;;
164;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;cEndPost;E;C;1-1;1-11;Código de Endereçamento Postal alfanumérico do endereço no exterior da obra.;-;;;;;;
165;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior, local da obra.;-;;;;;;
166;NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior, local da obra.;-;;;;;;
167;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço da obra.;-;;;;;;
168;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;nro;E;C;1-1;1-60;Número no logradouro do endereço da obra.;-;;;;;;
169;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xCpl;E;C;0-1;1-156;Complemento do endereço da obra.;-;;;;;;
170;NFSe/infNFSe/DPS/infDPS/serv/obra/end/;xBairro;E;C;1-1;1-60;Bairro do endereço da obra.;-;;;;;;
171;NFSe/infNFSe/DPS/infDPS/serv/;atvEvento;G;-;0-1;-;Grupo de informações relativas à atividades de eventos;-;;;;;;
172;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;xNome;E;C;1-1;255;Nome do evento Artístico, Cultural, Esportivo, ...;-;;;;;;
173;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtIni;E;D;1-1;-;"Data de início da atividade de evento.
Ano, Mês e Dia (AAAA-MM-DD)";-;;;;;;
174;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;dtFim;E;D;1-1;-;"Data de fim da atividade de evento.
Ano, Mês e Dia (AAAA-MM-DD)";-;;;;;;
175;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;idAtvEvt;CE;C;1-1;1-30;"Identificação da Atividade de Evento 
(código identificador de evento determinado pela Administração Tributária Municipal)";Choice com o grupo de endereço da atividade de evento;;;;;;
176;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/;end;CG;-;1-1;-;Grupo de informações do endereço da atividade de evento.;;;;;;;
177;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;CEP;CE;C;1-1;8;Código de Endereçamento Postal numérico do endereço nacional da atividade de evento.;;;;;;;
178;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;endExt;CG;-;1-1;-;Grupo de informações descritivas do endereço no exterior da atividade de evento.;;;;;;;
179;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;cEndPost;E;C;1-1;11;Código de Endereçamento Postal alfanumérico do endereço no exterior da atividade de evento.;;;;;;;
180;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior, local da atividade de evento.;;;;;;;
181;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior, local da atividade de evento.;;;;;;;
182;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço da atividade de evento.;;;;;;;
183;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;nro;E;C;1-1;1-60;Número no logradouro do endereço da atividade de evento.;;;;;;;
184;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xCpl;E;C;0-1;1-156;Complemento do endereço da atividade de evento.;;;;;;;
185;NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/;xBairro;E;C;1-1;1-60;Bairro do endereço da atividade de evento.;;;;;;;
186;NFSe/infNFSe/DPS/infDPS/serv;infoCompl;G;-;0-1;-;Grupo de informações complementares disponível para todos os serviços prestados;Campos possíveis de preenchimento na DPS para todos os subitens da lista de serviços que forem prestados;;;;;;
187;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;idDocTec;E;C;0-1;1-40;"Identificador de Documento de Responsabilidade Técnica:
ART, RRT, DRT, Outros.";;;;;;;
188;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;docRef;E;C;0-1;1-255;Chave da nota, número identificador da nota, número do contrato ou outro identificador de documento emitido pelo prestador de serviços, que subsidia a emissão dessa nota pelo tomador do serviço ou intermediário (preenchimento obrigatório caso a nota esteja sendo emitida pelo Tomador ou intermediário do serviço).;;;;;;;
189;NFSe/infNFSe/DPS/infDPS/serv/infoCompl/;xInfComp;E;C;0-1;2000;Campo livre para preenchimento pelo contribuinte.;;;;;;;
190;NFSe/infNFSe/DPS/infDPS/;valores;G;-;1-1;-;Grupo de informações relativas à valores do serviço prestado;-;;;;;;
191;NFSe/infNFSe/DPS/infDPS/valores/;vServPrest;G;-;1-1;-;Grupo de informações relativas aos valores do serviço prestado;-;;;;;;
192;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vReceb;E;N;0-1;1-15V2;Valor monetário recebido pelo intermediário do serviço (R$).;-;;;;;;
193;NFSe/infNFSe/DPS/infDPS/valores/vServPrest/;vServ;E;N;1-1;1-15V2;Valor monetário do serviço (R$).;-;;;;;;
194;NFSe/infNFSe/DPS/infDPS/valores/;vDescCondIncond;G;-;0-1;-;Grupo de informações relativas aos descontos condicionados e incondicionados;-;;;;;;
195;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescIncond;E;N;0-1;1-15V2;Valor monetário do desconto incondicionado (R$).;-;;;;;;
196;NFSe/infNFSe/DPS/infDPS/valores/vDescCondIncond/;vDescCond;E;N;0-1;1-15V2;Valor monetário do desconto condicionado (R$).;-;;;;;;
197;NFSe/infNFSe/DPS/infDPS/valores/;vDedRed;G;-;0-1;-;Grupo de informações relativas ao valores para dedução/redução do valor da base de cálculo (valor do serviço);-;;;;;;
198;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;pDR;CE;N;1-1;1-3V2;Valor percentual padrão para dedução/redução do valor do serviço.;"As três opções para informação de Dedução/Redução, caso exista, são:
Valor, Percentual ou Documento;";;;;;;
199;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;vDR;CE;N;1-1;1-15V2;Valor monetário padrão para dedução/redução do valor do serviço.;;;;;;;
200;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/;documentos;CG;-;1-1;-;Grupo de informações de documento utilizado para dedução/redução do valor da base de cálculo (valor do serviço);;;;;;;
201;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos;docDedRed;G;-;1-1000;-;Grupo de informações de documento utilizado para dedução/redução do valor da base de cálculo (valor do serviço);;;;;;;
202;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;chNFSe;CE;N;1-1;50;Chave de acesso da NFS-e (padrão nacional).;"Para o caso de informação de documento para Dedução/Redução existem seis opções possíveis:
NFS-e, 
NF-e, 
Outras NFS-e, 
NFS/NFS (Modelo não eletrônico), 
Outros documentos fiscais e
Outros documentos;";;;;;;
203;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;chNFe;CE;N;1-1;44;Chave de acesso da NF-e.;;;;;;;
204;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;NFSeMun;CG;-;1-1;-;"Grupo de informações para outras notas eletrônicas municipais
(Nota eletrônica municipal emitida fora do padrão nacional)";;;;;;;
205;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;cMunNFSeMun;E;N;1-1;7;"Código Município emissor da nota eletrônica municipal.
(Tabela do IBGE)";;;;;;;
206;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;nNFSeMun;E;N;1-1;15;Número da nota eletrônica municipal.;;;;;;;
207;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFSeMun/;cVerifNFSeMun;E;C;1-1;9;Código de Verificação da nota eletrônica municipal.;;;;;;;
208;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;NFNFS;CG;-;1-1;-;"Grupo de informações de NF ou NFS
(Modelo não eletrônico)";;;;;;;
209;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;nNFS;E;N;1-1;7;Número da Nota Fiscal NF ou NFS.;;;;;;;
210;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;modNFS;E;N;1-1;15;Modelo da Nota Fiscal NF ou NFS.;;;;;;;
211;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/NFNFS/;serieNFS;E;C;1-1;9;Série Nota Fiscal NF ou NFS.;;;;;;;
212;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;nDocFisc;CE;C;1-1;255;Identificador de documento fiscal diferente dos demais do grupo.;;;;;;;
213;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;nDoc;CE;C;1-1;255;Identificador de documento não fiscal diferente dos demais do grupo.;;;;;;;
214;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;tpDedRed;E;N;1-1;2;"Tipo da Dedução/Redução:

01 – Alimentação e bebidas/frigobar; 
02 – Materiais;
 03 – Produção externa;
 04 – Reembolso de despesas;
  05 – Repasse consorciado;
  06 – Repasse plano de saúde;
  07 – Serviços;
08 – Subempreitada de mão de obra;
09 - Profissional Parceiro;
99 – Outras deduções;";"O grupo de informações de documentos para dedução/redução pode não ter correspondência para Municípios que não utilizem o padrão ABRASF na versão 2.04.

Nesse caso, sugere-se que o Município que vá utilizar a transcrição da NFS-e do padrão de seu emissor para o padrão nacional, para encaminhamento ao ADN, apenas para essa fase inicial de implantação do padrão, utilize nessa operação o valor obtido como dedução/redução e o informe como “valor monetário”, e não “documentos”.

Nesse sentido, também o Painel Administrativo Municipal deve ser parametrizado como dedução por “valor monetário” para o código de serviço correspondente, até que seu emissor próprio passe a refletir na origem o padrão nacional.";;;;;;
215;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;xDescOutDed;E;C;0-1;150;"Descrição da Dedução/Redução quando a opção é ""99 – Outras Deduções"".";-;;;;;;
216;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;dtEmiDoc;E;D;1-1;-;"Data da emissão do documento dedutível.
Ano, mês e dia (AAAA-MM-DD)";-;;;;;;
217;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;vDedutivelRedutivel;E;N;1-1;1-15V2;"Valor monetário total dedutível/redutível no documento informado (R$).
Este é o valor total no documento informado que é passível de dedução/redução.";-;;;;;;
218;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;vDeducaoReducao;E;N;1-1;1-15V2;"Valor monetário utilizado para dedução/redução do valor do serviço da NFS-e que está sendo emitida (R$). 
Deve ser menor ou igual ao valor deduzível/redutível (vDedutivelRedutivel).";-;;;;;;
219;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/;fornec;G;-;0-1;-;Grupo de informações do fornecedor do serviço prestado;-;;;;;;
220;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CNPJ;CE;N;1-1;14;Número da inscrição federal (CNPJ) do fornecedor de serviço.;-;;;;;;
221;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CPF;CE;N;1-1;11;Número da inscrição federal (CPF) do fornecedor do serviço.;-;;;;;;
222;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;NIF;CE;C;1-1;40;Este elemento só deverá ser preenchido para fornecedores não residentes no Brasil.;-;;;;;;
223;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;cNaoNIF;CE;N;1-1;1;"Motivo para não informação do NIF:

0 - Não informado na nota de origem;
1 - Dispensado do NIF;
2 - Não exigência do NIF;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
224;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;CAEPF;E;N;0-1;14;Número do Cadastro de Atividade Econômica da Pessoa Física (CAEPF) do prestador do serviço.;-;;;;;;
225;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;IM;E;C;0-1;15;Número do indicador municipal do fornecedor.;-;;;;;;
226;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;xNome;E;C;1-1;150;Nome / Razão Social do fornecedor.;-;;;;;;
227;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/;end;G;-;0-1;-;Grupo de informações do endereço do fornecedor.;-;;;;;;
228;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/;endNac;CG;-;1-1;-;Grupo de informações do endereço nacional.;-;;;;;;
229;NFSe/infNFSe/DPS/infDPS/valores/vDedRed/documentos/docDedRed/fornec/end/endNac/;cMun;E;N;1-1;7;"Código do município do endereço do fornecedor.
 (Tabela do IBGE)";-;;;;;;
